,calldate,callcount
0,2016-01-01 00:00:00,28
1,2016-01-01 08:00:00,8
2,2016-01-01 09:00:00,41
3,2016-01-01 10:00:00,20
4,2016-01-01 11:00:00,34
5,2016-01-01 12:00:00,44
6,2016-01-01 13:00:00,27
7,2016-01-01 14:00:00,11
8,2016-01-01 15:00:00,20
9,2016-01-01 16:00:00,21
10,2016-01-01 17:00:00,18
11,2016-01-01 18:00:00,22
12,2016-01-01 19:00:00,18
13,2016-01-01 20:00:00,6
14,2016-01-01 21:00:00,14
15,2016-01-01 22:00:00,14
16,2016-01-01 23:00:00,25
17,2016-01-02 00:00:00,36
18,2016-01-02 01:00:00,5
19,2016-01-02 02:00:00,3
20,2016-01-02 03:00:00,3
21,2016-01-02 06:00:00,15
22,2016-01-02 07:00:00,24
23,2016-01-02 08:00:00,15
24,2016-01-02 09:00:00,43
25,2016-01-02 10:00:00,17
26,2016-01-02 11:00:00,27
27,2016-01-02 12:00:00,11
28,2016-01-02 13:00:00,27
29,2016-01-02 14:00:00,16
30,2016-01-02 15:00:00,15
31,2016-01-02 16:00:00,49
32,2016-01-02 17:00:00,12
33,2016-01-02 18:00:00,20
34,2016-01-02 19:00:00,24
35,2016-01-02 20:00:00,4
36,2016-01-02 21:00:00,16
37,2016-01-02 22:00:00,9
38,2016-01-02 23:00:00,18
39,2016-01-03 00:00:00,13
40,2016-01-03 01:00:00,10
41,2016-01-03 02:00:00,2
42,2016-01-03 06:00:00,7
43,2016-01-03 07:00:00,2
44,2016-01-03 08:00:00,6
45,2016-01-03 09:00:00,16
46,2016-01-03 10:00:00,20
47,2016-01-03 11:00:00,21
48,2016-01-03 12:00:00,24
49,2016-01-03 13:00:00,27
50,2016-01-03 14:00:00,4
51,2016-01-03 15:00:00,19
52,2016-01-03 16:00:00,25
53,2016-01-03 17:00:00,35
54,2016-01-03 18:00:00,13
55,2016-01-03 19:00:00,5
56,2016-01-03 20:00:00,22
57,2016-01-03 21:00:00,17
58,2016-01-03 22:00:00,21
59,2016-01-03 23:00:00,18
60,2016-01-04 00:00:00,15
61,2016-01-04 01:00:00,4
62,2016-01-04 02:00:00,4
63,2016-01-04 07:00:00,4
64,2016-01-04 08:00:00,35
65,2016-01-04 09:00:00,16
66,2016-01-04 10:00:00,25
67,2016-01-04 11:00:00,33
68,2016-01-04 12:00:00,88
69,2016-01-04 13:00:00,59
70,2016-01-04 14:00:00,21
71,2016-01-04 15:00:00,23
72,2016-01-04 16:00:00,42
73,2016-01-04 17:00:00,13
74,2016-01-04 18:00:00,15
75,2016-01-04 19:00:00,13
76,2016-01-04 20:00:00,15
77,2016-01-04 21:00:00,20
78,2016-01-04 22:00:00,3
79,2016-01-04 23:00:00,5
80,2016-01-05 00:00:00,14
81,2016-01-05 01:00:00,5
82,2016-01-05 02:00:00,1
83,2016-01-05 03:00:00,1
84,2016-01-05 06:00:00,34
85,2016-01-05 07:00:00,26
86,2016-01-05 08:00:00,29
87,2016-01-05 09:00:00,25
88,2016-01-05 10:00:00,30
89,2016-01-05 11:00:00,20
90,2016-01-05 12:00:00,52
91,2016-01-05 13:00:00,47
92,2016-01-05 14:00:00,26
93,2016-01-05 15:00:00,46
94,2016-01-05 16:00:00,65
95,2016-01-05 17:00:00,49
96,2016-01-05 18:00:00,22
97,2016-01-05 19:00:00,41
98,2016-01-05 20:00:00,20
99,2016-01-05 21:00:00,4
100,2016-01-05 22:00:00,2
101,2016-01-05 23:00:00,29
102,2016-01-06 00:00:00,34
103,2016-01-06 01:00:00,2
104,2016-01-06 06:00:00,17
105,2016-01-06 07:00:00,24
106,2016-01-06 08:00:00,31
107,2016-01-06 09:00:00,74
108,2016-01-06 10:00:00,63
109,2016-01-06 11:00:00,58
110,2016-01-06 12:00:00,64
111,2016-01-06 13:00:00,53
112,2016-01-06 14:00:00,32
113,2016-01-06 15:00:00,37
114,2016-01-06 16:00:00,53
115,2016-01-06 17:00:00,23
116,2016-01-06 18:00:00,31
117,2016-01-06 19:00:00,36
118,2016-01-06 20:00:00,10
119,2016-01-06 21:00:00,28
120,2016-01-06 22:00:00,8
121,2016-01-06 23:00:00,17
122,2016-01-07 00:00:00,24
123,2016-01-07 01:00:00,11
124,2016-01-07 02:00:00,9
125,2016-01-07 03:00:00,1
126,2016-01-07 04:00:00,3
127,2016-01-07 05:00:00,1
128,2016-01-07 06:00:00,7
129,2016-01-07 07:00:00,31
130,2016-01-07 08:00:00,35
131,2016-01-07 09:00:00,66
132,2016-01-07 10:00:00,69
133,2016-01-07 11:00:00,54
134,2016-01-07 12:00:00,59
135,2016-01-07 13:00:00,63
136,2016-01-07 14:00:00,29
137,2016-01-07 15:00:00,35
138,2016-01-07 16:00:00,80
139,2016-01-07 17:00:00,94
140,2016-01-07 18:00:00,51
141,2016-01-07 19:00:00,45
142,2016-01-07 20:00:00,21
143,2016-01-07 21:00:00,25
144,2016-01-07 22:00:00,25
145,2016-01-07 23:00:00,23
146,2016-01-08 00:00:00,26
147,2016-01-08 01:00:00,13
148,2016-01-08 02:00:00,29
149,2016-01-08 03:00:00,11
150,2016-01-08 04:00:00,5
151,2016-01-08 06:00:00,6
152,2016-01-08 07:00:00,17
153,2016-01-08 08:00:00,47
154,2016-01-08 09:00:00,82
155,2016-01-08 10:00:00,61
156,2016-01-08 11:00:00,48
157,2016-01-08 12:00:00,65
158,2016-01-08 13:00:00,40
159,2016-01-08 14:00:00,30
160,2016-01-08 15:00:00,25
161,2016-01-08 16:00:00,41
162,2016-01-08 17:00:00,30
163,2016-01-08 18:00:00,17
164,2016-01-08 19:00:00,7
165,2016-01-08 20:00:00,15
166,2016-01-08 21:00:00,24
167,2016-01-08 22:00:00,3
168,2016-01-08 23:00:00,15
169,2016-01-09 00:00:00,23
170,2016-01-09 01:00:00,5
171,2016-01-09 02:00:00,2
172,2016-01-09 03:00:00,2
173,2016-01-09 04:00:00,2
174,2016-01-09 05:00:00,4
175,2016-01-09 06:00:00,19
176,2016-01-09 07:00:00,15
177,2016-01-09 08:00:00,26
178,2016-01-09 09:00:00,67
179,2016-01-09 10:00:00,21
180,2016-01-09 11:00:00,29
181,2016-01-09 12:00:00,47
182,2016-01-09 13:00:00,32
183,2016-01-09 14:00:00,24
184,2016-01-09 15:00:00,29
185,2016-01-09 16:00:00,31
186,2016-01-09 17:00:00,19
187,2016-01-09 18:00:00,6
188,2016-01-09 19:00:00,17
189,2016-01-09 20:00:00,3
190,2016-01-09 21:00:00,9
191,2016-01-09 22:00:00,3
192,2016-01-09 23:00:00,7
193,2016-01-10 00:00:00,6
194,2016-01-10 02:00:00,2
195,2016-01-10 03:00:00,11
196,2016-01-10 04:00:00,5
197,2016-01-10 06:00:00,4
198,2016-01-10 07:00:00,8
199,2016-01-10 08:00:00,19
200,2016-01-10 09:00:00,11
201,2016-01-10 10:00:00,14
202,2016-01-10 11:00:00,39
203,2016-01-10 12:00:00,36
204,2016-01-10 13:00:00,8
205,2016-01-10 14:00:00,10
206,2016-01-10 15:00:00,32
207,2016-01-10 16:00:00,25
208,2016-01-10 17:00:00,26
209,2016-01-10 18:00:00,26
210,2016-01-10 19:00:00,6
211,2016-01-10 20:00:00,3
212,2016-01-10 22:00:00,6
213,2016-01-10 23:00:00,10
214,2016-01-11 00:00:00,27
215,2016-01-11 01:00:00,3
216,2016-01-11 02:00:00,5
217,2016-01-11 06:00:00,5
218,2016-01-11 07:00:00,10
219,2016-01-11 08:00:00,36
220,2016-01-11 09:00:00,54
221,2016-01-11 10:00:00,39
222,2016-01-11 11:00:00,41
223,2016-01-11 12:00:00,31
224,2016-01-11 13:00:00,74
225,2016-01-11 14:00:00,26
226,2016-01-11 15:00:00,25
227,2016-01-11 16:00:00,53
228,2016-01-11 17:00:00,58
229,2016-01-11 18:00:00,40
230,2016-01-11 19:00:00,24
231,2016-01-11 20:00:00,30
232,2016-01-11 21:00:00,31
233,2016-01-11 22:00:00,21
234,2016-01-11 23:00:00,44
235,2016-01-12 00:00:00,3
236,2016-01-12 01:00:00,11
237,2016-01-12 02:00:00,21
238,2016-01-12 03:00:00,2
239,2016-01-12 04:00:00,1
240,2016-01-12 06:00:00,30
241,2016-01-12 07:00:00,24
242,2016-01-12 08:00:00,31
243,2016-01-12 09:00:00,82
244,2016-01-12 10:00:00,84
245,2016-01-12 11:00:00,45
246,2016-01-12 12:00:00,76
247,2016-01-12 13:00:00,70
248,2016-01-12 14:00:00,26
249,2016-01-12 15:00:00,58
250,2016-01-12 16:00:00,91
251,2016-01-12 17:00:00,53
252,2016-01-12 18:00:00,39
253,2016-01-12 19:00:00,10
254,2016-01-12 20:00:00,2
255,2016-01-12 21:00:00,4
256,2016-01-12 22:00:00,12
257,2016-01-12 23:00:00,5
258,2016-01-13 00:00:00,56
259,2016-01-13 01:00:00,3
260,2016-01-13 02:00:00,16
261,2016-01-13 03:00:00,16
262,2016-01-13 04:00:00,1
263,2016-01-13 06:00:00,12
264,2016-01-13 07:00:00,12
265,2016-01-13 08:00:00,40
266,2016-01-13 09:00:00,64
267,2016-01-13 10:00:00,67
268,2016-01-13 11:00:00,65
269,2016-01-13 12:00:00,82
270,2016-01-13 13:00:00,55
